,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,,
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G
1,Milwaukee Bucks,26.9,7,1,7,1,13.38,1.89,15.27,113.5,100.8,104.9,.246,.432,.593,.561,14.1,22.6,.192,.461,10.0,80.1,.165,Fiserv Forum,85592,17118
2,Golden State Warriors,28.2,9,1,8,2,13.50,-1.93,11.57,121.5,108.3,102.2,.253,.361,.627,.595,13.2,24.3,.204,.507,11.6,77.9,.204,Oracle Arena,97980,19596
3,Denver Nuggets,24.8,8,1,7,2,9.56,-0.94,8.61,112.1,102.5,98.2,.283,.311,.551,.514,12.1,27.5,.213,.505,14.0,79.9,.197,Pepsi Center,87063,17413
4,Toronto Raptors,27.6,8,1,7,2,8.44,-1.45,7.00,114.8,106.5,101.2,.243,.368,.580,.548,11.5,23.4,.187,.491,12.9,73.7,.184,Scotiabank Arena,118915,19819
5,Charlotte Hornets,26.8,5,5,7,3,7.60,-0.88,6.72,116.5,108.8,99.3,.237,.380,.574,.536,10.6,23.6,.195,.517,12.6,77.9,.206,Spectrum Center,78030,15606
6,Portland Trail Blazers,26.2,6,3,6,3,7.11,-1.28,5.83,115.0,108.1,101.3,.278,.348,.579,.531,12.3,24.7,.239,.494,10.2,76.0,.184,Moda Center,97413,19483
7,Boston Celtics,25.8,6,3,6,3,4.11,1.51,5.62,104.0,99.9,99.9,.221,.417,.529,.497,11.9,20.9,.168,.469,12.2,79.7,.182,TD Garden,74496,18624
8,Indiana Pacers,26.9,7,3,7,3,5.20,0.04,5.24,111.9,106.5,96.4,.228,.274,.570,.547,12.4,21.7,.162,.505,13.7,75.5,.192,Bankers Life Fieldhouse,68223,17056
9,Los Angeles Clippers,28.1,5,4,6,3,5.89,-0.67,5.22,112.6,106.9,102.8,.353,.285,.583,.529,13.5,21.8,.290,.477,10.2,76.5,.228,STAPLES Center,66524,16631
10,Oklahoma City Thunder,25.5,4,4,4,4,1.38,2.23,3.60,107.8,106.4,104.0,.318,.332,.528,.493,11.7,27.2,.219,.509,15.4,76.8,.263,Chesapeake Energy Arena,72812,18203
11,Utah Jazz,26.5,4,5,5,4,1.11,1.26,2.37,110.4,109.3,99.4,.341,.383,.572,.532,13.7,23.2,.252,.531,12.2,79.8,.188,Vivint Smart Home Arena,54918,18306
12,San Antonio Spurs,30.2,6,2,5,3,3.13,-1.06,2.07,112.3,109.2,98.9,.253,.243,.555,.513,10.2,23.7,.209,.538,13.1,80.2,.167,AT&T Center,92005,18401
13,Sacramento Kings,24.2,6,3,5,4,3.22,-1.32,1.91,112.5,109.5,106.4,.280,.285,.582,.560,12.1,21.7,.187,.530,14.2,76.0,.208,Golden 1 Center,45882,15294
14,Memphis Grizzlies,28.1,5,2,5,2,4.57,-2.92,1.65,108.5,103.8,96.3,.345,.350,.557,.512,11.6,17.4,.257,.524,16.0,76.5,.202,FedEx Forum,47051,15684
15,Philadelphia 76ers,25.6,6,4,5,5,1.10,0.22,1.32,107.1,106.0,104.5,.307,.378,.549,.502,12.7,22.3,.243,.488,11.0,80.6,.208,Wells Fargo Center,121609,20268
16,New Orleans Pelicans,26.3,4,5,4,5,-1.67,2.96,1.30,113.4,115.0,104.8,.320,.299,.569,.532,12.0,24.9,.234,.549,11.8,78.8,.215,Smoothie King Center,64607,16152
17,Los Angeles Lakers,26.3,4,5,5,4,0.33,-0.19,0.15,112.5,112.2,105.7,.236,.308,.575,.552,12.6,22.2,.167,.529,13.1,73.4,.213,STAPLES Center,75988,18997
18,Miami Heat,27.5,3,5,4,4,0.25,-1.19,-0.94,110.8,110.6,101.5,.304,.382,.547,.510,12.8,28.2,.220,.522,11.0,79.0,.216,AmericanAirlines Arena,78400,19600
19,Minnesota Timberwolves,27.3,4,5,3,6,-4.11,2.42,-1.69,111.8,115.9,102.0,.271,.329,.546,.499,10.6,24.8,.224,.544,12.9,69.3,.170,Target Center,74740,14948
20,New York Knicks,24.0,3,6,4,5,-2.44,0.26,-2.19,108.8,111.2,98.7,.229,.336,.536,.501,11.6,24.2,.178,.549,14.6,75.7,.201,Madison Square Garden (IV),95004,19001
21,Detroit Pistons,27.3,4,4,3,5,-2.63,-2.28,-4.90,106.1,108.6,100.6,.311,.350,.526,.482,11.9,24.3,.232,.517,11.9,82.4,.254,Little Caesars Arena,68766,17192
22,Houston Rockets,29.8,3,5,3,5,-5.88,0.89,-4.99,107.2,113.1,99.2,.253,.456,.528,.499,11.5,24.2,.175,.535,12.9,78.0,.248,Toyota Center,72220,18055
23,Brooklyn Nets,25.3,3,6,3,6,-4.33,-1.58,-5.92,110.3,114.7,97.3,.236,.408,.564,.538,14.1,23.8,.169,.510,10.1,71.5,.212,Barclays Center,49477,12369
24,Orlando Magic,25.6,2,6,1,7,-12.00,5.12,-6.88,99.9,112.0,99.9,.210,.342,.495,.465,11.1,21.7,.150,.534,12.5,76.5,.187,Amway Center,83000,16600
25,Chicago Bulls,23.8,2,8,3,7,-7.80,0.77,-7.03,107.5,115.3,98.7,.256,.348,.560,.525,13.1,18.2,.197,.527,11.1,74.2,.206,United Center,120771,20129
26,Washington Wizards,27.2,1,7,2,6,-12.13,4.48,-7.65,106.1,117.6,104.0,.299,.388,.552,.505,12.9,17.5,.239,.553,13.1,70.9,.227,Capital One Arena,57003,19001
27,Dallas Mavericks,26.3,2,7,3,6,-6.00,-2.67,-8.67,108.3,114.2,101.1,.259,.395,.552,.520,14.0,24.3,.190,.570,14.0,80.2,.231,American Airlines Center,79075,19769
28,Phoenix Suns,26.0,1,7,1,7,-14.00,3.25,-10.75,102.2,116.1,100.6,.256,.368,.549,.513,15.8,20.1,.196,.565,11.7,81.3,.225,Talking Stick Resort Arena,64281,16070
29,Cleveland Cavaliers,26.7,1,8,2,7,-11.78,-1.42,-13.20,108.2,120.2,98.1,.267,.258,.538,.490,12.4,27.3,.221,.589,13.2,76.0,.191,Quicken Loans Arena,97160,19432
30,Atlanta Hawks,26.0,3,6,2,7,-9.44,-4.48,-13.93,103.9,112.7,106.7,.279,.409,.557,.526,15.6,19.5,.198,.541,13.7,75.8,.228,State Farm Arena,60652,15163
,League Average,26.5,,,4,4,0.00,0.00,0.00,110.1,110.1,101.2,.271,.350,.558,.522,12.5,23.1,.206,.522,12.5,76.9,.206,,78322,17800
